Date,price_24k,price_22k,price_18k
2011-08-08,2459.61,2253.0,1844.71
2011-08-09,2517.57,2306.09,1888.18
2011-08-10,2588.78,2371.32,1941.58
2011-08-11,2544.08,2330.37,1908.06
2011-08-12,2534.08,2321.22,1900.56
2011-08-15,2562.01,2346.8,1921.51
2011-08-16,2592.1,2374.36,1944.07
2011-08-17,2606.05,2387.14,1954.53
2011-08-18,2649.27,2426.73,1986.95
2011-08-19,2717.16,2488.92,2037.87
2011-08-22,2772.8,2539.88,2079.6
2011-08-23,2725.0,2496.1,2043.75
2011-08-24,2568.25,2352.52,1926.19
2011-08-25,2599.23,2380.9,1949.42
2011-08-26,2653.93,2431.0,1990.45
2011-08-29,2653.72,2430.81,1990.29
2011-08-30,2692.76,2466.57,2019.57
2011-08-31,2700.7,2473.84,2025.53
2011-09-01,2685.27,2459.71,2013.95
2011-09-02,2753.0,2521.75,2064.75
2011-09-06,2764.5,2532.28,2073.37
2011-09-07,2685.41,2459.84,2014.06
2011-09-08,2744.92,2514.35,2058.69
2011-09-09,2753.25,2521.98,2064.94
2011-09-12,2714.14,2486.15,2035.6
2011-09-13,2769.85,2537.18,2077.38
2011-09-14,2782.43,2548.71,2086.82
2011-09-15,2719.48,2491.05,2039.61
2011-09-16,2767.37,2534.91,2075.52
2011-09-19,2694.0,2467.7,2020.5
2011-09-20,2771.92,2539.08,2078.94
2011-09-21,2781.09,2547.47,2085.81
2011-09-22,2695.74,2469.29,2021.8
2011-09-23,2604.6,2385.81,1953.45
2011-09-26,2526.36,2314.15,1894.77
2011-09-27,2621.56,2401.35,1966.17
2011-09-28,2536.42,2323.36,1902.32
2011-09-29,2532.05,2319.36,1899.04
2011-09-30,2545.46,2331.64,1909.1
2011-10-03,2611.5,2392.13,1958.63
2011-10-04,2548.97,2334.85,1911.72
2011-10-05,2600.08,2381.68,1950.06
2011-10-06,2610.35,2391.08,1957.76
2011-10-07,2577.07,2360.6,1932.8
2011-10-10,2624.52,2404.06,1968.39
2011-10-11,2604.69,2385.89,1953.52
2011-10-12,2661.56,2437.99,1996.17
2011-10-13,2621.82,2401.58,1966.36
2011-10-14,2660.3,2436.83,1995.22
2011-10-17,2633.79,2412.56,1975.35
2011-10-18,2596.75,2378.63,1947.57
2011-10-19,2605.79,2386.9,1954.34
2011-10-20,2539.88,2326.53,1904.91
2011-10-21,2621.12,2400.95,1965.84
2011-10-24,2645.45,2423.23,1984.09
2011-10-25,2707.58,2480.14,2030.68
2011-10-26,2736.62,2506.75,2052.47
2011-10-27,2771.94,2539.1,2078.96
2011-10-28,2795.29,2560.49,2096.47
2011-10-31,2695.66,2469.22,2021.74
2011-11-01,2677.5,2452.59,2008.12
2011-11-02,2737.71,2507.74,2053.28
2011-11-03,2786.27,2552.22,2089.7
2011-11-04,2767.98,2535.47,2075.99
2011-11-07,2820.01,2583.13,2115.01
2011-11-08,2827.97,2590.42,2120.98
2011-11-09,2839.21,2600.71,2129.41
2011-11-10,2830.32,2592.58,2122.74
2011-11-11,2871.17,2629.99,2153.38
2011-11-14,2859.76,2619.54,2144.82
2011-11-15,2885.23,2642.87,2163.92
2011-11-16,2886.98,2644.47,2165.23
2011-11-17,2803.51,2568.02,2102.63
2011-11-18,2825.08,2587.78,2118.81
2011-11-21,2764.19,2532.0,2073.14
2011-11-22,2848.98,2609.66,2136.73
2011-11-23,2861.27,2620.92,2145.95
2011-11-25,2821.3,2584.31,2115.97
2011-11-28,2872.72,2631.41,2154.54
2011-11-29,2861.39,2621.03,2146.04
2011-11-30,2912.75,2668.08,2184.56
2011-12-01,2886.08,2643.65,2164.56
2011-12-02,2881.38,2639.35,2161.04
2011-12-05,2843.54,2604.68,2132.65
2011-12-06,2844.33,2605.4,2133.24
2011-12-07,2865.73,2625.0,2149.29
2011-12-08,2836.52,2598.25,2127.39
2011-12-09,2847.0,2607.85,2135.25
2011-12-12,2775.21,2542.09,2081.41
2011-12-13,2809.77,2573.75,2107.33
2011-12-14,2704.72,2477.53,2028.54
2011-12-15,2719.04,2490.64,2039.28
2011-12-16,2729.66,2500.37,2047.24
2011-12-19,2690.85,2464.82,2018.14
2011-12-20,2737.38,2507.44,2053.04
2011-12-21,2731.63,2502.17,2048.72
2011-12-22,2710.15,2482.5,2032.61
2011-12-23,2709.11,2481.54,2031.83
2011-12-27,2701.12,2474.23,2025.84
2011-12-28,2655.63,2432.55,1991.72
2011-12-29,2617.04,2397.21,1962.78
2011-12-30,2668.1,2443.98,2001.08
2012-01-03,2741.2,2510.94,2055.9
2012-01-04,2749.25,2518.31,2061.94
2012-01-05,2751.63,2520.49,2063.72
2012-01-06,2741.35,2511.07,2056.01
2012-01-09,2722.26,2493.59,2041.7
2012-01-10,2746.69,2515.97,2060.02
2012-01-11,2719.4,2490.97,2039.55
2012-01-12,2740.78,2510.55,2055.58
2012-01-13,2696.93,2470.39,2022.7
2012-01-17,2734.23,2504.56,2050.67
2012-01-18,2702.39,2475.39,2026.79
2012-01-19,2678.17,2453.2,2008.63
2012-01-20,2690.67,2464.65,2018.0
2012-01-23,2709.48,2481.88,2032.11
2012-01-24,2666.7,2442.7,2000.03
2012-01-25,2732.49,2502.96,2049.37
2012-01-26,2775.09,2541.98,2081.32
2012-01-27,2922.74,2677.23,2192.05
2012-01-30,2748.59,2517.7,2061.44
2012-01-31,2932.86,2686.5,2199.65
2012-02-01,2780.44,2546.88,2085.33
2012-02-02,2768.2,2535.67,2076.15
2012-02-03,2737.86,2507.88,2053.4
2012-02-06,2694.85,2468.49,2021.14
2012-02-07,2754.23,2522.87,2065.67
2012-02-08,2726.7,2497.66,2045.03
2012-02-09,2747.87,2517.05,2060.9
2012-02-10,2741.9,2511.58,2056.42
2012-02-13,2733.94,2504.29,2050.46
2012-02-14,2713.58,2485.63,2035.18
2012-02-15,2739.46,2509.34,2054.59
2012-02-16,2736.09,2506.26,2052.07
2012-02-17,2732.44,2502.92,2049.33
2012-02-21,2776.47,2543.25,2082.35
2012-02-22,2805.68,2570.0,2104.26
2012-02-23,2824.42,2587.16,2118.31
2012-02-24,2801.77,2566.43,2101.33
2012-02-27,2794.56,2559.82,2095.92
2012-02-28,2825.15,2587.84,2118.86
2012-02-29,2697.49,2470.9,2023.12
2012-03-01,2711.56,2483.79,2033.67
2012-03-02,2702.9,2475.85,2027.17
2012-03-05,2711.24,2483.5,2033.43
2012-03-06,2677.86,2452.92,2008.4
2012-03-07,2725.34,2496.41,2044.01
2012-03-08,2744.93,2514.36,2058.7
2012-03-09,2754.35,2522.98,2065.76
2012-03-12,2718.03,2489.72,2038.52
2012-03-13,2720.94,2492.38,2040.71
2012-03-14,2631.4,2410.36,1973.55
2012-03-15,2662.16,2438.53,1996.62
2012-03-16,2681.4,2456.16,2011.05
2012-03-19,2686.73,2461.04,2015.05
2012-03-20,2659.2,2435.83,1994.4
2012-03-21,2673.02,2448.48,2004.76
2012-03-22,2673.22,2448.67,2004.91
2012-03-23,2732.06,2502.57,2049.05
2012-03-26,2772.8,2539.88,2079.6
2012-03-27,2763.79,2531.63,2072.84
2012-03-28,2701.27,2474.37,2025.96
2012-03-29,2697.03,2470.48,2022.77
2012-03-30,2755.27,2523.83,2066.45
2012-04-02,2743.46,2513.01,2057.59
2012-04-03,2731.19,2501.77,2048.39
2012-04-04,2604.79,2385.99,1953.59
